Rater1,Rater2,Rater3,Rater4,Rater5,Rater6,Rater7,Rater8,Rater9,Rater10,Rater11,Rater12,Rater13,Rater14,Rater15,Rater16,Rater17,Rater18,Rater19,Rater20,Rater21,Rater22,Rater23,Rater24,Rater25,Rater26
21.27,31.69,50.56,18.59,51.27,0.14,7.18,3.24,34.5,35.63,30.56,27.18,1.69,19.44,1.13,2.25,2.68,9.44,2.96,7.18,17.32,28.17,55.07,17.18,2.54,1.41
50.85,49.58,50.14,64.65,76.2,20.85,16.34,16.2,54.93,51.13,50.56,26.62,4.23,28.45,2.11,4.23,1.83,42.25,6.34,84.08,73.1,51.83,68.59,64.23,0.99,2.39
61.27,38.03,55.92,55.07,77.89,20.7,11.69,49.44,54.5,59.01,39.72,50.7,14.23,70.42,19.58,51.97,8.45,37.89,3.24,89.58,78.03,59.86,61.41,68.03,5.21,17.46
41.27,50,50.28,57.75,95.07,49.44,10.56,32.11,49.72,42.39,49.3,24.23,8.17,17.89,22.54,4.79,50.28,56.34,8.17,84.37,38.73,65.35,30.85,67.46,37.32,4.37
88.17,66.2,37.04,45.77,77.18,19.58,15.92,17.46,71.69,70.42,40,28.31,13.24,23.8,9.86,4.37,4.51,24.79,3.66,66.06,75.07,50.28,73.52,29.72,13.52,5.35
87.46,50.42,72.39,54.93,73.24,50,14.65,56.48,51.26,64.51,42.54,51.13,6.62,63.8,38.17,20,13.38,56.76,26.9,57.32,60.99,63.8,65.35,75.92,0.99,67.18
13.8,28.59,27.75,24.08,92.25,0.14,10.42,39.15,43.24,37.46,39.86,30.42,1.13,22.11,3.1,6.9,2.82,27.18,4.37,22.68,42.82,42.39,40.56,24.51,0.99,2.68
23.1,32.11,26.62,12.11,51.83,5.35,2.54,23.66,51.27,42.54,37.61,22.96,1.13,15.63,1.83,9.44,1.27,46.34,4.23,51.41,50.28,36.06,32.11,33.66,1.27,26.06
69.72,73.94,51.55,56.76,94.79,49.3,34.65,74.23,74.36,63.8,40.7,22.96,44.65,65.07,38.73,2.96,3.1,50.7,12.25,68.45,49.44,54.08,69.3,67.75,36.62,2.82
61.83,79.72,63.94,58.73,78.73,43.38,50.7,83.24,77.6,70.85,61.27,50.7,15.63,71.55,27.32,69.01,28.03,50,10.28,84.51,66.62,75.77,58.45,74.08,30.56,6.62
13.1,35.35,49.58,49.01,70.14,6.9,15.35,67.04,42.25,66.34,41.41,36.34,2.54,58.73,2.82,4.37,2.82,11.83,3.66,4.93,48.87,45.77,53.24,40.85,0.99,1.55
43.38,50.28,50,19.72,71.97,25.21,17.18,27.04,35.63,45.07,41.27,32.96,0.99,20.42,0.99,7.18,2.68,51.41,11.83,32.39,49.01,39.86,38.45,57.32,0.99,1.55